Timestamp,Accelerometer_X_g,Accelerometer_Y_g,Accelerometer_Z_g,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,label,Event_ID,Label_Source
2026-07-28 10:07:49.211,0.1,-0.46,0.87,5.8,-9.58,-10.5,NO_FALL,,
2026-07-28 10:07:49.212,0.16,-0.43,0.94,7.63,-2.01,3.3,NO_FALL,,
2026-07-28 10:07:49.212,0.18,-0.37,0.93,7.63,-6.9,-5.62,NO_FALL,,
2026-07-28 10:07:49.212,0.18,-0.37,0.93,7.63,-6.9,-5.62,NO_FALL,,
2026-07-28 10:07:49.213,0.16,-0.29,0.91,2.14,-9.28,-15.56,NO_FALL,,
2026-07-28 10:07:49.213,0.16,-0.29,0.91,2.14,-9.28,-15.56,NO_FALL,,
2026-07-28 10:07:49.217,0.12,-0.32,0.87,4.7,-9.16,-4.27,NO_FALL,,
2026-07-28 10:07:49.217,0.12,-0.32,0.87,4.7,-9.16,-4.27,NO_FALL,,
2026-07-28 10:07:49.269,0.08,-0.39,0.85,9.03,-4.88,11.17,NO_FALL,,
2026-07-28 10:07:49.270,0.08,-0.39,0.85,9.03,-4.88,11.17,NO_FALL,,
2026-07-28 10:07:49.329,0.06,-0.42,0.89,5.31,6.1,9.58,NO_FALL,,
2026-07-28 10:07:49.329,0.06,-0.42,0.89,2.56,13.37,-0.67,NO_FALL,,
2026-07-28 10:07:49.329,0.07,-0.4,0.94,2.56,13.37,-0.67,NO_FALL,,
2026-07-28 10:07:49.388,0.11,-0.34,0.96,4.03,10.93,-11.47,NO_FALL,,
2026-07-28 10:07:49.389,0.11,-0.34,0.96,4.03,10.93,-11.47,NO_FALL,,
2026-07-28 10:07:49.389,0.17,-0.31,0.96,7.57,4.03,-14.4,NO_FALL,,
2026-07-28 10:07:49.569,0.17,-0.31,0.96,7.57,4.03,-14.4,NO_FALL,,
2026-07-28 10:07:49.569,0.22,-0.31,0.93,13.0,-4.88,-9.4,NO_FALL,,
2026-07-28 10:07:49.569,0.22,-0.31,0.93,13.0,-4.88,-9.4,NO_FALL,,
2026-07-28 10:07:49.570,0.23,-0.29,0.9,15.26,-11.17,-7.69,NO_FALL,,
2026-07-28 10:07:49.571,0.23,-0.29,0.9,11.9,-6.65,-7.69,NO_FALL,,
2026-07-28 10:07:49.572,0.21,-0.26,0.91,11.9,-6.65,-7.69,NO_FALL,,
2026-07-28 10:07:49.572,0.17,-0.26,0.95,6.84,3.17,-3.23,NO_FALL,,
2026-07-28 10:07:49.573,0.17,-0.26,0.95,6.84,3.17,-3.23,NO_FALL,,
2026-07-28 10:07:49.629,0.13,-0.28,0.97,3.36,7.51,1.95,NO_FALL,,
2026-07-28 10:07:49.629,0.13,-0.28,0.97,3.36,7.51,1.95,NO_FALL,,
2026-07-28 10:07:49.750,0.09,-0.31,0.97,1.4,7.81,5.62,NO_FALL,,
2026-07-28 10:07:49.750,0.09,-0.31,0.97,1.4,7.81,5.62,NO_FALL,,
2026-07-28 10:07:49.750,0.07,-0.35,0.98,0.31,7.81,6.59,NO_FALL,,
2026-07-28 10:07:49.751,0.07,-0.35,0.98,0.31,7.81,6.59,NO_FALL,,
2026-07-28 10:07:49.751,0.08,-0.36,0.96,1.34,4.27,3.78,NO_FALL,,
2026-07-28 10:07:49.751,0.11,-0.34,0.93,3.91,-1.22,-1.77,NO_FALL,,
2026-07-28 10:07:49.808,0.11,-0.34,0.93,3.91,-1.22,-1.77,NO_FALL,,
2026-07-28 10:07:49.809,0.14,-0.3,0.93,3.54,-0.98,-7.75,NO_FALL,,
2026-07-28 10:07:49.809,0.14,-0.3,0.93,3.54,-0.98,-7.75,NO_FALL,,
2026-07-28 10:07:49.872,0.15,-0.26,0.96,1.04,2.99,-11.05,NO_FALL,,
2026-07-28 10:07:49.872,0.15,-0.26,0.96,1.04,2.99,-11.05,NO_FALL,,
2026-07-28 10:07:49.929,0.15,-0.24,0.96,0.73,2.69,-8.3,NO_FALL,,
2026-07-28 10:07:49.930,0.15,-0.24,0.96,0.73,2.69,-8.3,NO_FALL,,
2026-07-28 10:07:49.931,0.14,-0.28,0.94,2.87,-0.55,-0.24,NO_FALL,,
2026-07-28 10:07:49.988,0.14,-0.28,0.94,3.17,-1.04,4.82,NO_FALL,,
2026-07-28 10:07:49.989,0.13,-0.31,0.94,3.17,-1.04,4.82,NO_FALL,,
2026-07-28 10:07:49.989,0.13,-0.31,0.94,1.59,0.0,2.5,NO_FALL,,
2026-07-28 10:07:50.049,0.13,-0.31,0.94,1.59,0.0,2.5,NO_FALL,,
2026-07-28 10:07:50.049,0.14,-0.29,0.95,0.85,-0.43,-1.65,NO_FALL,,
2026-07-28 10:07:50.050,0.14,-0.29,0.95,0.85,-0.43,-1.65,NO_FALL,,
2026-07-28 10:07:50.108,0.14,-0.28,0.95,1.34,-1.53,-2.81,NO_FALL,,
2026-07-28 10:07:50.109,0.14,-0.28,0.95,1.34,-1.53,-2.81,NO_FALL,,
2026-07-28 10:07:50.169,0.14,-0.27,0.95,1.46,-2.32,-2.08,NO_FALL,,
2026-07-28 10:07:50.169,0.14,-0.27,0.95,1.46,-2.32,-2.08,NO_FALL,,
2026-07-28 10:07:50.169,0.13,-0.28,0.95,0.98,-1.95,-0.37,NO_FALL,,
2026-07-28 10:07:50.352,0.13,-0.3,0.95,1.34,-1.71,2.14,NO_FALL,,
2026-07-28 10:07:50.353,0.13,-0.3,0.95,1.34,-1.71,2.14,NO_FALL,,
2026-07-28 10:07:50.354,0.14,-0.31,0.94,1.53,-1.83,1.77,NO_FALL,,
2026-07-28 10:07:50.356,0.14,-0.31,0.94,1.53,-1.83,1.77,NO_FALL,,
2026-07-28 10:07:50.356,0.14,-0.3,0.94,1.28,-1.34,-0.61,NO_FALL,,
2026-07-28 10:07:50.364,0.14,-0.3,0.94,1.28,-1.34,-0.61,NO_FALL,,
2026-07-28 10:07:50.364,0.14,-0.28,0.94,1.34,-0.79,-1.83,NO_FALL,,
2026-07-28 10:07:50.365,0.14,-0.28,0.94,1.34,-0.79,-1.83,NO_FALL,,
2026-07-28 10:07:50.410,0.14,-0.27,0.95,0.92,0.12,-1.95,NO_FALL,,
2026-07-28 10:07:50.410,0.14,-0.27,0.95,0.92,0.12,-1.95,NO_FALL,,
2026-07-28 10:07:50.411,0.14,-0.27,0.95,0.67,0.37,-1.1,NO_FALL,,
2026-07-28 10:07:50.469,0.14,-0.27,0.95,1.22,-0.12,0.0,NO_FALL,,
2026-07-28 10:07:50.469,0.14,-0.28,0.94,1.22,-0.12,0.0,NO_FALL,,
2026-07-28 10:07:50.469,0.14,-0.29,0.95,1.65,-0.06,0.43,NO_FALL,,
2026-07-28 10:07:50.528,0.14,-0.29,0.95,1.65,-0.06,0.43,NO_FALL,,
2026-07-28 10:07:50.529,0.14,-0.3,0.96,1.59,0.55,-0.55,NO_FALL,,
2026-07-28 10:07:50.529,0.14,-0.3,0.96,1.59,0.55,-0.55,NO_FALL,,
2026-07-28 10:07:50.589,0.14,-0.29,0.98,1.34,0.55,-2.5,NO_FALL,,
2026-07-28 10:07:50.589,0.14,-0.29,0.98,1.34,0.55,-2.5,NO_FALL,,
2026-07-28 10:07:50.650,0.15,-0.27,0.98,1.34,-2.14,-4.15,NO_FALL,,
2026-07-28 10:07:50.650,0.15,-0.27,0.98,1.34,-2.14,-4.15,NO_FALL,,
2026-07-28 10:07:50.650,0.16,-0.26,0.96,0.85,-5.13,-3.66,NO_FALL,,
2026-07-28 10:07:50.709,0.16,-0.27,0.95,-0.85,-4.88,-1.22,NO_FALL,,
2026-07-28 10:07:50.709,0.16,-0.27,0.95,-0.85,-4.88,-1.22,NO_FALL,,
2026-07-28 10:07:50.768,0.16,-0.27,0.93,-2.26,-3.97,0.67,NO_FALL,,
2026-07-28 10:07:50.769,0.16,-0.27,0.93,-2.26,-3.97,0.67,NO_FALL,,
2026-07-28 10:07:50.769,0.17,-0.28,0.92,-2.14,-3.17,2.14,NO_FALL,,
2026-07-28 10:07:50.888,0.17,-0.28,0.92,-2.14,-3.17,2.14,NO_FALL,,
2026-07-28 10:07:50.889,0.16,-0.28,0.93,-2.5,-0.73,1.77,NO_FALL,,
2026-07-28 10:07:50.889,0.16,-0.28,0.93,-2.5,-0.73,1.77,NO_FALL,,
2026-07-28 10:07:50.893,0.15,-0.28,0.94,-2.5,0.06,0.55,NO_FALL,,
2026-07-28 10:07:50.893,0.15,-0.28,0.94,-2.5,0.06,0.55,NO_FALL,,
2026-07-28 10:07:50.893,0.14,-0.29,0.93,-1.34,-0.85,0.85,NO_FALL,,
2026-07-28 10:07:50.949,0.13,-0.3,0.94,-1.34,0.06,1.1,NO_FALL,,
2026-07-28 10:07:50.950,0.13,-0.3,0.94,-1.34,0.06,1.1,NO_FALL,,
2026-07-28 10:07:51.069,0.13,-0.3,0.94,-2.2,2.32,0.06,NO_FALL,,
2026-07-28 10:07:51.069,0.13,-0.3,0.94,-2.2,2.32,0.06,NO_FALL,,
2026-07-28 10:07:51.069,0.13,-0.3,0.95,-2.2,3.23,-1.04,NO_FALL,,
2026-07-28 10:07:51.070,0.13,-0.3,0.95,-2.2,3.23,-1.04,NO_FALL,,
2026-07-28 10:07:51.072,0.13,-0.31,0.94,-0.92,2.62,-0.67,NO_FALL,,
2026-07-28 10:07:51.072,0.13,-0.31,0.94,-0.92,2.62,-0.67,NO_FALL,,
2026-07-28 10:07:51.128,0.14,-0.32,0.95,-0.06,2.56,-0.55,NO_FALL,,
2026-07-28 10:07:51.129,0.15,-0.31,0.94,0.06,2.38,-2.26,NO_FALL,,
2026-07-28 10:07:51.249,0.15,-0.31,0.94,0.06,2.38,-2.26,NO_FALL,,
2026-07-28 10:07:51.249,0.16,-0.3,0.95,0.06,2.08,-3.66,NO_FALL,,
2026-07-28 10:07:51.249,0.16,-0.3,0.95,0.06,2.08,-3.66,NO_FALL,,
2026-07-28 10:07:51.250,0.17,-0.29,0.95,-0.73,1.34,-4.15,NO_FALL,,
2026-07-28 10:07:51.251,0.17,-0.29,0.95,-0.73,1.34,-4.15,NO_FALL,,
2026-07-28 10:07:51.251,0.17,-0.29,0.93,-0.92,-0.43,-3.3,NO_FALL,,
2026-07-28 10:07:51.308,0.17,-0.29,0.93,-0.92,-0.43,-3.3,NO_FALL,,
2026-07-28 10:07:51.309,0.17,-0.3,0.92,-2.14,1.83,-2.69,NO_FALL,,
2026-07-28 10:07:51.309,0.17,-0.3,0.92,-6.53,9.28,-4.58,NO_FALL,,
2026-07-28 10:07:51.368,0.15,-0.3,0.94,-6.53,9.28,-4.58,NO_FALL,,
2026-07-28 10:07:51.369,0.14,-0.29,0.97,-9.64,14.47,-6.16,NO_FALL,,
2026-07-28 10:07:51.488,0.14,-0.29,0.97,-9.64,14.47,-6.16,NO_FALL,,
2026-07-28 10:07:51.489,0.13,-0.29,0.98,-8.0,12.45,-3.23,NO_FALL,,
2026-07-28 10:07:51.490,0.13,-0.29,0.98,-8.0,12.45,-3.23,NO_FALL,,
2026-07-28 10:07:51.490,0.13,-0.33,0.93,0.24,2.01,5.55,NO_FALL,,
2026-07-28 10:07:51.491,0.13,-0.33,0.93,0.24,2.01,5.55,NO_FALL,,
2026-07-28 10:07:51.491,0.12,-0.36,0.91,5.25,-3.11,9.4,NO_FALL,,
2026-07-28 10:07:51.548,0.12,-0.36,0.91,-2.2,9.28,2.87,NO_FALL,,
2026-07-28 10:07:51.549,0.1,-0.36,1.0,-2.2,9.28,2.87,NO_FALL,,
2026-07-28 10:07:51.609,0.1,-0.3,1.06,-8.42,11.9,-7.14,NO_FALL,,
2026-07-28 10:07:51.609,0.1,-0.3,1.06,-8.42,11.9,-7.14,NO_FALL,,
2026-07-28 10:07:51.609,0.12,-0.24,0.97,-3.85,-9.4,-11.47,NO_FALL,,
2026-07-28 10:07:51.729,0.12,-0.24,0.97,-3.85,-9.4,-11.47,NO_FALL,,
2026-07-28 10:07:51.729,0.14,-0.25,0.88,1.71,-22.83,-3.3,NO_FALL,,
